mention,tag,pt code,fold id
Сильно активирует герпес,ADR,10019973,1
герпес,ADR,10019973,1
профилактическое,Indication,10036898,1
Сильно активирует герпес,ADR,10019973,1
молочница,ADR,10074170,4
зудело все ниже пояса,Indication,10056530,4
зудело все ниже пояса,ADR,10037093,4
зуб,Indication,10037087,4
Выделения,Indication,10056740,4
в проффилактических целях,Indication,10036898,5
насморк,Indication,10039101,3
боль в горле,Indication,10068319,3
насморка,Indication,10039101,3
першения в горле,Indication,10080125,3
температуру,Indication,10005911,3
насморка,Indication,10039101,3
боли в горле,Indication,10068319,3
нервничала,Indication,10029216,4
сильное сердцебиение,ADR,10033557,4
туманность в голове,ADR,10012373,4
голова побаливала,Indication,10019211,2
давление шалит,Indication,10013082,2
ломота во всех суставах и мышцах,Indication,10003239,2
температурила,Indication,10005911,2
температуры,Indication,10005911,2
Слабость,Indication,10003549,2
першения в горле,Indication,10080125,2
заложенности носа,Indication,10028735,2
раздражать,Indication,10022998,4
сильной интоксикации,ADR,10061355,2
диарея,ADR,10012735,2
рвота,ADR,10047700,2
несосредоточенность за рулем,ADR,10013496,2
высокая температура,ADR,10037660,2
мышечная слабость,ADR,10028372,2
сильное потовыделение,ADR,10020642,2
ознобом,ADR,10008531,2
Отсутствие аппетита,ADR,10061428,2
заложенность носа,Indication,10028735,1
профилактики,Indication,10036898,1
Чихал,Indication,10041232,3
с носа лилось,Indication,10039101,3
чихал,Indication,10041232,3
чихал,Indication,10041232,3
болеть голова,Indication,10019211,3
температура,Indication,10005911,2
сопельки,Indication,10039101,2
температурка,Indication,10005911,2
стрессы,Indication,10042209,1
легкое ощущение удушья,ADR,10003497,1
интенсивное выделение мокроты,ADR,10041812,1
кашель,ADR,10011224,1
болит желудок,ADR,10000087,1
возбужденным,ADR,10001497,5
орать,ADR,10039740,5
капризничать,ADR,10004207,5
не спать по ночам,ADR,10022437,5
возбужденным,ADR,10001497,5
аллергических реакций,Indication,10020751,4
шаткая нервная система,Indication,10003549,2
проблемы со сном,Indication,10022437,2
сон ужасный,ADR,10062519,2
нет силы,ADR,10003549,2
еле ноги ходят,ADR,10021021,2
Мозги вообще работать отказываются,ADR,10027374,2
настроение поршивое,ADR,10027940,2
забываешь саые простейшие слова,ADR,10027175,2
лицо бледное,ADR,10033546,2
синяки под глазами,ADR,10064729,2
стрессы,Indication,10042209,4
чтобы успокоить свои нервы,Indication,10029216,4
стал беспокойным,ADR,10038743,4
возбужденным,ADR,10001497,4
плохо спал ночью,ADR,10062519,4
проблемы со сном,Indication,10022437,3
Для профилактики,Indication,10036898,3
температуру,Indication,10005911,3
перестали спать после первого же укола,ADR,10040984,2
"не возможность уснуть сопровождалась непонятными движениями рук, головы, глаз",ADR,10022035,2
"ребенок вел себя, как будто что-то видел",ADR,10022035,2
начинал дергаться,ADR,10028347,2
пмс,Indication,10036618,1
срываюсь,Indication,10061284,1
раздражает,Indication,10022998,1
стрессовых,Indication,10042209,1
ослабленном иммунитете,Indication,10021425,5
дисбактериоза,ADR,10082129,5
молочница,ADR,10074170,5
жидкий стул,ADR,10012735,5
голова болела,ADR,10019211,4
плохое настроение,ADR,10027940,4
слабость,Indication,10003549,1
насморк,Indication,10039101,1
чихание,Indication,10041232,1
царапанье в горле,Indication,10080125,1
экстренной профилактики,Indication,10036898,1
головные боли,Indication,10019211,5
нервной,Indication,10029216,5
стрессы,Indication,10042209,2
нервничать,Indication,10029216,4
страшно,Indication,10016275,4
больно,Indication,10033371,4
заснуть вообще не мог пару дней,Indication,10022437,4
заболела сильно правая нога через неделю левая,ADR,10033425,5
боли в руках,ADR,10033425,5
сильные боли в мышщах,ADR,10028411,5
температура,ADR,10037660,5
при: -инфекции вызванные вирусом Herpes simplex,Indication,10019973,3
поражения слизистых оболочек кожи,Indication,10018150,3
профилактики,Indication,10036898,3
высыпания на губе,Indication,10037844,3
нервничать,Indication,10029216,2
тревожиться,Indication,10033670,2
боли в горле,Indication,10068319,4
боли в горле,Indication,10068319,4
горло болит,Indication,10068319,4
боли в горле,Indication,10068319,4
нервоз,Indication,10029216,1
проблемы со сном,Indication,10022437,5
головокружение,Indication,10013573,4
профилактические,Indication,10036898,1
в носу немного печет,ADR,10052437,1
чувство заложенности,ADR,10028735,1
профилактику,Indication,10036898,1
похмельный синдром,ADR,10019133,4
ходил как зомби,ADR,10016322,4
тяжелая голова и тело,ADR,10013082,4
тошнота,ADR,10028813,4
сон прерывистый с глюками,ADR,10040984,4
перепады давления сильные,ADR,10005746,2
слабость,ADR,10003549,2
нарушение обмена веществ,ADR,10058097,2
почечную недостаточность,ADR,10038435,2
привыкание,ADR,10052804,4
ходила раздраженная,ADR,10022998,4
насморке,Indication,10039101,3
насморк,Indication,10039101,3
насморк,Indication,10039101,3
насморка,Indication,10039101,3
Ножки слабые,Indication,10028372,5
температура,Indication,10005911,3
температура,Indication,10005911,3
температура,Indication,10005911,3
температура,Indication,10005911,3
пошла кровь с ануса,ADR,10049555,4
воспаленные миндалины,Indication,10065169,1
больное горло,Indication,10068319,1
Воспаление,Indication,10061218,1
клипает глазками,Indication,10065166,3
нервничает,Indication,10029216,3
гипертонус сосудов,Indication,10020852,3
тиков,Indication,10043833,3
на кишечный тракт тоже не очень хорошо влияет,ADR,10000059,3
возбуждает нервную систему,ADR,10001497,3
тики,Indication,10043833,3
спать потом не может,ADR,10040984,3
плохо спала,Indication,10062519,5
капризной,Indication,10004207,5
профилактики,Indication,10036898,2
профилактики,Indication,10036898,2
диарея,ADR,10012735,1
головокружение,ADR,10013573,1
снижение внимания,ADR,10013496,1
запор,ADR,10010774,1
диарея,ADR,10012735,1
вялость,ADR,10024642,1
герпес на губах,ADR,10067152,1
орви,ADR,10062352,4
кашлем,Indication,10011224,4
кашель,Indication,10011224,4
кашлял,Indication,10011224,4
рвотой,ADR,10047700,4
рвотой,Indication,10047700,4
прокашляли,Indication,10011224,4
кашля,Indication,10011224,4
недомогание,Indication,10025482,4
головные и сердечные боли,Indication,10061024,4
нервное состояние,Indication,10029216,4
скачки давления,Indication,10005750,4
не может нормально уснуть,Indication,10022437,4
при нервной возбудимости,Indication,10001497,4
насморк,Indication,10039101,5
насморк,Indication,10039101,5
при хронических бактериальных инфекциях,Indication,10060945,4
температура,Indication,10005911,4
ломота,Indication,10033371,4
болела голова,Indication,10019211,4
капризный,Indication,10004207,2
стрессы,Indication,10042209,4
стресса,Indication,10042209,4
одышку,Indication,10013968,1
"ощущать себя просто ""мешком",ADR,10016352,3
стремительно подниматься температура,ADR,10037660,5
насморк,Indication,10039101,1
температура,Indication,10005911,5
боли в горле,Indication,10068319,5
выделения из носа,Indication,10039083,5
озноб,Indication,10008531,5
сопелек,Indication,10039101,4
профилактики,Indication,10036898,4
как профилактика болезней,Indication,10036898,4
профилактическим средством,Indication,10036898,4
заложенность носа,Indication,10028735,1
першение в горле,Indication,10080125,1
температуру,Indication,10005911,1
для разшатаной нервной системы,Indication,10029333,3
для успокоения нервной системы,Indication,10029216,3
проблемы со сном,Indication,10022437,3
разддражительность,Indication,10022998,3
вспыльчивость,Indication,10002368,3
для разшатаной нервной системы,Indication,10029333,3
раздражительность,Indication,10022998,1
повышение температуры,ADR,10037660,5
температура,Indication,10005911,5
для профилактики,Indication,10036898,5
для профилактики,Indication,10036898,5
заложенности носа,Indication,10028735,3
заложен нос,Indication,10028735,3
Невозможно дышать,Indication,10013968,3
ломоты в теле,Indication,10033371,1
головная боль,Indication,10019211,1
повышение температуры тела,Indication,10005911,1
головной болью,Indication,10019211,1
температурой,Indication,10005911,1
Ломота в теле,Indication,10033371,3
температура,Indication,10005911,3
давить в горле,ADR,10043528,3
аллергии,ADR,10020751,3
аллергии,ADR,10020751,3
стрессовых ситуациях,Indication,10042209,3
тошноту,ADR,10028813,5
для успокоения,Indication,10029216,5
нервное раздражение,Indication,10029216,5
головную боль,Indication,10019211,5
тошноту,ADR,10028813,5
воспалении горла,Indication,10065735,5
"температура до 37,2",Indication,10005911,5
температура,Indication,10005911,5
температура,Indication,10005911,5
воспалении горла,Indication,10065735,5
онемения в лицевой части,ADR,10020937,2
шум в ушах,ADR,10043882,2
зеленых густых выделениях из носа,Indication,10039101,4
сопли,Indication,10039101,4
зеленых густых выделениях из носа,Indication,10039101,4
заложенность носа,Indication,10028735,4
чихание,Indication,10041232,4
насморк,Indication,10039101,4
кашель,Indication,10011224,4
боль в горле,Indication,10068319,4
температура,Indication,10005911,1
нос хлюпать,Indication,10039101,1
температуры,Indication,10005911,4
сопли,Indication,10039101,4
кашель с мокротой,Indication,10011224,4
сопли,Indication,10039101,3
температурой,Indication,10005911,1
насморком,Indication,10039101,1
температура,Indication,10005911,4
стало слабить немного,ADR,10012735,4
насморк,Indication,10039101,4
слабость,Indication,10003549,4
насморке,Indication,10039101,1
температуру,Indication,10005911,1
заболел левый бок,ADR,10016750,1
заболел левый бок,ADR,10016750,1
болит,ADR,10033371,1
заболел левый бок,ADR,10016750,1
иммунитет слабый,Indication,10021425,1
стрессам,Indication,10042209,2
истерика,Indication,10010893,2
температуру,Indication,10005911,2
Возможность бесплодия,ADR,10021926,1
Возможность бесплодия,ADR,10021926,1
истерики,Indication,10010893,1
непослушание,Indication,10004207,1
чихаю,Indication,10041232,4
стресса,Indication,10042209,1
срывы,Indication,10061284,1
проблемы с нервами,Indication,10029216,1
глаз как дергался,Indication,10005159,1
не могла уснуть,Indication,10062519,1
ужасная рвота,ADR,10047708,3
рвота,ADR,10047700,3
Выходит из тебя все таже желудочный сок,ADR,10047708,3
болит все внутри,ADR,10000081,3
Рвота,ADR,10047700,3
профилактика,Indication,10036898,5
для профилактики,Indication,10036898,5
для профилактики,Indication,10036898,5
профилактика,Indication,10036898,5
стрессом,Indication,10042209,2
сонливость,ADR,10041349,2
привыкание,ADR,10052804,1
резались зубки,Indication,10043183,5
высокой температурой,Indication,10037660,5
весь горячий,Indication,10016334,5
температура была 38,Indication,10037660,5
температуры,Indication,10005911,5
температура,Indication,10005911,5
головная боль,ADR,10019211,5
боль в глазах,ADR,10015958,5
тошнота,ADR,10028813,5
в глазах рябило,ADR,10079450,5
кружилась голова,ADR,10013573,5
Головная боль,ADR,10019211,5
для профилактики,Indication,10036898,5
насморке,Indication,10039101,2
Как профилактика,Indication,10036898,1
нервы,Indication,10029216,2
нарушения сна,Indication,10040984,2
"спать хочет, а не может",ADR,10040984,1
что-то болит,ADR,10033371,1
красного горла,Indication,10057009,1
сильный зуд,ADR,10037087,1
жжение,ADR,10006784,1
капризная,Indication,10004207,5
капризничает,Indication,10004207,5
стресса,Indication,10042209,2
тревоги,Indication,10033670,2
стресса,Indication,10042209,2
наблюдается отсталость,ADR,10041349,2
организм тормозит,ADR,10041349,2
насморком,Indication,10039101,2
температурой,Indication,10005911,2
насморка,Indication,10039101,2
Отек,Indication,10028735,2
слизистая напрочь высохла,ADR,10028111,2
трещинки появляться стали,ADR,10040849,2
нервным,Indication,10029216,5
раздражительным,Indication,10022998,5
раздражительности,Indication,10022998,5
насморке,Indication,10039101,5
нервным,Indication,10029216,5
стресса,Indication,10042209,5
гиперактивности,Indication,10037211,5
проблемы с перегородкой носа,Indication,10028763,1
простудный насморк,Indication,10028810,1
Насморк,Indication,10039101,4
насморком,Indication,10039101,1
насморком,Indication,10039101,1
недомогание,Indication,10025482,1
дерёт горло,ADR,10043521,5
аллергией,ADR,10020751,3
аллергии,ADR,10020751,3
от заложенности,Indication,10028735,2
насморка,Indication,10039101,2
профилактического,Indication,10036898,2
профилактический,Indication,10036898,2
для профилактики,Indication,10036898,2
для профилактики,Indication,10036898,2
чтобы спать нормально,Indication,10040984,2
тревоги,Indication,10033670,2
беспокойства,Indication,10033670,2
срывов,Indication,10061284,2
для профилактики и лечения,Indication,10036898,4
кашлять,Indication,10011224,4
чихать,Indication,10041232,4
болит горло,Indication,10019211,5
боль в горле,Indication,10068319,5
болит горло,Indication,10019211,5
стрессы,Indication,10042209,1
стрессов,Indication,10042209,1
нервной,Indication,10029216,1
сильный стресс,Indication,10001084,1
стрессы,Indication,10042209,1
заложенностью носа,Indication,10028735,1
соплями,Indication,10039101,1
сопли,Indication,10039101,1
Сопли,Indication,10039101,1
кашель,Indication,10011224,1
насморк,Indication,10039101,1
температура,Indication,10005911,1
Температура,Indication,10005911,1
температура,Indication,10005911,3
сопли,Indication,10039101,3
кашель,Indication,10011224,3
разболелся животик,ADR,10000081,4
Утром очень тяжело проснуться и отойти от сна,ADR,10041349,5
часа 2-3 каматозит,ADR,10003549,5
слабость,ADR,10003549,5
сонливость,ADR,10041349,5
температуре,Indication,10005911,2
боли,Indication,10033371,2
"температура, 39.3",Indication,10005911,2
температура,Indication,10005911,2
температура,Indication,10005911,2
температура,Indication,10005911,2
температуре,Indication,10005911,2
ноги крутили,Indication,10033425,2
голова болела,Indication,10019211,2
температуре,Indication,10005911,2
боли,Indication,10033371,2
нервничать,Indication,10029216,2
раздражает,Indication,10022998,2
насморке,Indication,10039101,3
насморк,Indication,10039101,3
насморке,Indication,10039101,3
насморке,Indication,10039101,4
насморке,Indication,10039101,4
в носу пересыхает слизь,Indication,10028740,4
Насморк,Indication,10039101,4
насморке,Indication,10039101,4
недосып,Indication,10062519,2
усталость,Indication,10016256,2
стресс,Indication,10042209,2
не могу уснуть,Indication,10062519,5
Насморк,Indication,10039101,4
"температура 37,2",Indication,10037660,4
при профилактике,Indication,10036898,2
насморка,Indication,10039101,1
белки глаз краснели,Indication,10030041,1
температура,Indication,10005911,1
кашлеть,Indication,10011224,1
насморк,Indication,10039101,1
сопли,Indication,10039101,1
заложенным носом,Indication,10028735,5
чиханием,Indication,10041232,5
глаза слезятся,Indication,10023644,5
37.2 температура,Indication,10005911,5
красное горлышко,Indication,10057009,5
соплей,Indication,10039101,5
кашля,Indication,10011224,5
клонить в сон,ADR,10041349,2
температура,Indication,10005911,2
температуру,Indication,10005911,2
клонит в сон,ADR,10041349,2
температура,Indication,10005911,3
покраснели брови,ADR,10015150,5
высыпало все тело,ADR,10037844,5
зуд тела,ADR,10037087,5
капризничал весь день,ADR,10014551,5
пятнистый,ADR,10037867,5
подкашливать,Indication,10011224,2
подкашливать,Indication,10011224,2
кашель,Indication,10011224,2
для профилактики,Indication,10036898,2
сопли,Indication,10039101,2
кашель,Indication,10011224,2
как разбитое корыто,Indication,10003549,1
для профилактики,Indication,10036898,4
для профилактики,Indication,10036898,4
для профилактики,Indication,10036898,4
насмарок,Indication,10039101,4
задыхалась,Indication,10013968,4
заболело горло,Indication,10068319,4
заболело горло,Indication,10068319,4
горечь,Indication,10013911,4
как профилактическое,Indication,10036898,1
безразличие ко всему происходящему,ADR,10021703,2
температурой,Indication,10005911,4
иммунитета нет,Indication,10021425,4
Температура,Indication,10005911,2
закашливаться аш до рвоты,ADR,10011224,2
мондраш волнами,ADR,10016338,2
давление 130,ADR,10076581,2
головная боль,ADR,10019211,2
голова как будто едит куда-то,ADR,10013573,2
профилактика,Indication,10036898,4
чихать,Indication,10041232,4
подкашливать,Indication,10011224,4
профилактика,Indication,10036898,4
больным горлом,Indication,10068319,2
заложенность носа,Indication,10028735,2
хочется спать,ADR,10041349,5
кошмары,ADR,10029412,5
чувство какой то паники,ADR,10033666,5
мурашки по всему телу,ADR,10017062,5
дикое сердцебиение,ADR,10033557,5
целый день ходиш как в тумане заторможенный,ADR,10041349,5
головная боль,Indication,10019211,5
заложенность носа,Indication,10028735,5
боль в горле,Indication,10068319,5
жаром,Indication,10016334,5
болью,Indication,10033371,5
"высокая температура 39 38,5",Indication,10037660,3
"температуру до 37,5",Indication,10005911,3
профилактики,Indication,10036898,1
температура,Indication,10005911,1
чувствую себя полным тормозом,ADR,10050012,4
чувство мышцы рук и ног расслаблены,ADR,10021118,4
стал медленный,ADR,10041052,4
прут всякие мысли в голове,ADR,10077275,4
высоком пульсе,Indication,10019303,4
сильных болей,Indication,10033371,5
высокая температура,Indication,10037660,3
сухость в носу,Indication,10028740,2
вирусных заболеваниях половой сферы у женщин,Indication,10065222,1
ослабила иммунитет,Indication,10021425,3
кашель,Indication,10011224,3
насморк,Indication,10039101,3
Ухудшилось зрение,ADR,10047571,2
пелену на глазах,ADR,10047571,2
Ухудшилось зрение,ADR,10047571,2
нервов,Indication,10029216,3
Чувство тревоги,Indication,10002855,3
нервозное состояние,Indication,10029216,3
во рту образовалась дикая сухость,ADR,10013781,3
для профилактики,Indication,10036898,1
кашель,Indication,10011224,1
температура,Indication,10005911,1
боль в горле,Indication,10068319,1
температурой,Indication,10005911,4
поносом,Indication,10012735,3
высокая температура,Indication,10037660,2
ломота тела,Indication,10033371,2
озноб,Indication,10008531,2
с слабым иммунитетом,Indication,10021425,2
для профилактики,Indication,10036898,2
проблеммы с желудком,ADR,10053155,5
попка покраснела болела,ADR,10016825,5
насморк,Indication,10039101,4
повышенную температуру,Indication,10005911,4
воспаление,Indication,10061218,4
боль,Indication,10033371,4
"постоянная температура у ребенка доходя до 38,5",ADR,10005911,3
болит голова,Indication,10019211,3
ломит все тело,Indication,10013082,3
для лечения и профилактики,Indication,10036898,1
для лечения и профилактики,Indication,10036898,1
для лечения и профилактики,Indication,10036898,1
Противогерпесная,Indication,10019973,3
простудных высыпаний,Indication,10062639,3
насморк,Indication,10039101,1
насморк,Indication,10039101,1
температуру,Indication,10005911,3
температура 39; 38,Indication,10037660,3
температуру,Indication,10005911,3
"температура 37,7 36,4",Indication,10005911,3
аллергическую реакцию,ADR,10020751,3
Сыпь,ADR,10037844,3
насморк,Indication,10039101,5
насморк,Indication,10039101,5
для профилактики,Indication,10036898,3
нервного срыва,Indication,10061284,1
нервном напряжение,Indication,10043268,1
гипервозбудимым,Indication,10037211,1
нарушением сна,Indication,10040984,1
нервного срыва,Indication,10061284,1
капризность,Indication,10004207,3
плаксивость,Indication,10011469,3
раздражительность,Indication,10022998,3
истерикам,Indication,10010893,3
резались зубы,Indication,10043183,3
истерики,Indication,10010893,3
головная боль,ADR,10019211,1
тошнота,ADR,10028813,1
рябь в глазах,ADR,10079450,1
сильно повысилось давление,ADR,10005750,1
плохая речь,Indication,10041466,3
слабая концентрация внимания,Indication,10013496,3
возбужденный истерики,ADR,10010893,3
плохой сон,ADR,10040984,3
мог ночью проснутся плакать,ADR,10011469,3
болело горло,Indication,10068319,5
высокая температура,Indication,10037660,5
Температура,Indication,10005911,5
переживал,Indication,10002855,4
нервничал,Indication,10029216,4
не может заснуть,Indication,10022437,4
слабый иммунитет,Indication,10021425,3
заложило уши,ADR,10011900,3
ощущение ухушения слуха,ADR,10048865,3
ослабленным иммунитетом,Indication,10021425,3
ломать все тело,Indication,10013082,3
болело горло и голова,Indication,10019211,3
температура,Indication,10005911,3
болевом синдроме,Indication,10043224,3
зубная и головная боль,Indication,10044055,3
менструальные боли,Indication,10013935,3
лихорадочный синдром,Indication,10037660,3
першить в горле,Indication,10080125,3
заболела голова,Indication,10019211,3
закладывало уши и носоглотку,Indication,10028735,3
насморк,Indication,10039101,3
кашель,Indication,10011224,3
чихают,Indication,10041232,3
кашляют,Indication,10011224,3
горло болело,Indication,10068319,3
нос практически вообще не дышал,Indication,10028735,3
для проффилактики,Indication,10036898,3
насморком,Indication,10039101,3
профилактику,Indication,10036898,1
температура,Indication,10005911,2
насморк,Indication,10039101,2
проблемы с мозговым кровеобращением,Indication,10008196,1
головные боли,Indication,10019211,1
головные боли,Indication,10019211,1
для профилактики,Indication,10036898,3
температуру,Indication,10005911,5
температуру,Indication,10005911,1
воспалительного процесса,Indication,10061218,1
соплей,Indication,10039101,1
очень сильно органы сажает,ADR,10061623,4
насморк,Indication,10039101,4
обострился панкреатит,ADR,10033647,4
очень сильно органы сажает,ADR,10061623,4
недостаточность кислорода,Indication,10021143,4
недомогание,Indication,10025482,1
першение в горле,Indication,10080125,1
насморк,Indication,10039101,1
для профилактики,Indication,10036898,1
ухудшилось эмоциональное состояние,Indication,10014551,1
раздраженной,Indication,10022998,1
срываюсь,Indication,10061284,1
Бессонница,Indication,10022437,1
для профилактики,Indication,10036898,3
поднялась температура,ADR,10037660,3
уставший,Indication,10016256,1
выжатый как лимон,Indication,10016256,1
вялость,Indication,10024642,1
усталость,Indication,10016256,1
настроение всегда на нуле,ADR,10027940,1
"состояние ""овоща",ADR,10027175,1
не могу больше похвастаться хорошей памятью,ADR,10027175,1
стали пропадать целые отрывки из памяти,ADR,10027175,1
Могла элементарно не вспомнить почему оказываюсь в том или ином месте и с какой целью,ADR,10001949,1
слабость,Indication,10003549,1
переутомлений,Indication,10003549,1
Могу отрубиться где угодно совершенно внезапно,ADR,10024855,1
провалы памяти,ADR,10027175,1
слабый иммунитет,Indication,10021425,4
на моих губах появляются некрасивые болячки,Indication,10049307,4
зуд на губах,Indication,10070721,4
пузырьки,Indication,10005191,4
болячки на лице,Indication,10037844,4
как профилактическое,Indication,10036898,4
температура,Indication,10005911,2
болела голова,Indication,10019211,2
насморк,Indication,10039101,2
температуры,Indication,10005911,2
болью в горле,Indication,10068319,2
головной болью,Indication,10019211,2
отеком слизистой оболочки носа,Indication,10061305,2
изжога,ADR,10013946,4
боли,ADR,10033371,4
сыпаться волосы,ADR,10001760,5
волосы стали выпадать,ADR,10001760,5
От волос мало что осталось,ADR,10001760,5
сыпаться волосы,ADR,10001760,5
как профилактическим,Indication,10036898,1
чихают,Indication,10041232,1
кашляют,Indication,10011224,1
сыпь по телу,ADR,10037844,4
аллергическая реакция,ADR,10020751,4
очень сильно колотилось сердце,ADR,10033557,4
тахикардия,ADR,10043071,4
потеря сна,ADR,10022437,4
глаз дергаться начало веко верхнее,ADR,10005159,4
сильная аллергия,ADR,10020751,4
проблемы с желудком,ADR,10053155,4
"она хочет кушать, а не может",ADR,10061148,4
для профилактики,Indication,10036898,3
сопли,Indication,10039101,3
как профилактику,Indication,10036898,3
для профилактики,Indication,10036898,3
температура 38,Indication,10037660,2
кашель,Indication,10011224,2
жар,Indication,10016334,2
"температура 38,6",Indication,10037660,4
то в жар то в холод,Indication,10037660,4
температура,Indication,10005911,4
повышаться артериальное давление,Indication,10005750,3
раздражительности,Indication,10022998,3
раздражительности,Indication,10022998,3
"простуду"" на губах",Indication,10067152,2
чешется,Indication,10037087,2
колит,Indication,10009887,2
"простуду"" на губах",Indication,10067152,2
для успокоения,Indication,10029216,3
кашель,Indication,10011224,4
насморк,Indication,10039101,4
температуре,Indication,10005911,4
расстройство сна,ADR,10040984,4
панических атак,Indication,10033664,1
тревожность,Indication,10033670,1
страх,Indication,10016275,1
страхами,Indication,10016275,1
тревожность,Indication,10033670,1
страхи,Indication,10016275,1
Сразу в сон клонит,ADR,10041349,1
привыкание,ADR,10052804,1
насморк,Indication,10039101,2
боль в горле,Indication,10068319,2
для профилактики,Indication,10036898,2
заложенность,Indication,10028735,3
отечность,Indication,10042674,3
стрессах,Indication,10042209,3
судорожное состояние,Indication,10028334,3
стрессах,Indication,10042209,3
нарушениями работы ЦНС,Indication,10029202,2
тошноту,ADR,10028813,1
головокружения,ADR,10013573,1
сухость во рту,ADR,10013781,1
язык просто прилип к небу,ADR,10043951,1
воспаление,Indication,10061218,3
снижает давление,ADR,10005734,2
повышенной тревожности,Indication,10002855,2
утомляемости,Indication,10016256,2
трудности расслабления нервной системы,Indication,10043268,2
устаешь,Indication,10016256,2
сна нет,Indication,10022437,2
спишь долго,Indication,10041349,2
утром встать с кровати не можешь,Indication,10041349,2
низкое давление по утрам,ADR,10021097,2
снижает давление,ADR,10005734,2
раздражение,ADR,10022998,4
больном горле,Indication,10068319,4
заложенности,Indication,10028735,1
